,Title,BodyPart,Equipment,Level,url
529,Holman Feet-Elevated Hip Raise,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=r65KAFSO_kM
530,Holman Left Hand Right Foot Crab Reach,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=dBho5Z7y4Zc
531,Holman Alternating Crab Flip to Froggy Push-Up to Kicks,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=d_57140plEE
532,Holman Right Hand Left Foot Sleeping Crab,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=5t_tgiWatvs
533,Holman Left Hand Right Foot Sleeping Crab,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=AK5qHLpq408
534,Holman Straight Plank with Alternating Leg Kick-Under,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Z2-MFxrHneU
535,Holman Right Hip Drop Push-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=B7oDQM5swxs
536,Holman Right Side Diagonal Burpee,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=ePb8pCQIhLQ
537,Holman Left Hip Drop Push-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=B7oDQM5swxs
538,Holman Right Leg 7-Up Crunch,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=nNiBvG0FVS8
539,Holman Left Leg 7-Up Crunch,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=nNiBvG0FVS8
540,Holman Straight Plank Jack,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=8hjjYN7uKT8
541,Holman Feet-Elevated Couch Hill Climber,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=g1S7dDhlORQ
542,Holman Feet-Elevated Right Side Plank,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=oniOFpT3Oi0
543,Holman Alternating Up-Down Plank to Push-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=3Wn0-JyAZm8
544,Holman Straight Plank Pike,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=d_B55dng_bs
545,Holman Ninja Knee Straight Plank,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=fGl3QcjmR3Y
546,Holman Reverse Crunch to Hip Raise,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=5iOLZq1QWHE
547,Holman Straight Plank Quick Reach,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=GFh-7c2t2O8
548,Holman Alternating Diagonal Straight Plank,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=gPB4Rfdsh3w
549,Holman Feet-Elevated Left Side Plank,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=oniOFpT3Oi0
550,Holman Right Hand Left Foot Crab Reach,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=dBho5Z7y4Zc
551,Holman Low-Impact Crab Kick,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=2mZL3jhBnqc
552,Holman Alternating Crab Flip to Froggy Push-Up,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=DvJnmHynMfo
553,Holman High-Impact Crab Kick,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=8enojiJCD00
554,Holman Single-Leg Right Pike,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=141JZ6Y_fcw
555,Holman Single-Leg Left Pike,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=9p13nKWLbDU
556,Holman Shoulder Tap to Hand Tap,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=4OAAJwnMNRQ
557,Holman Towel Reverse Plank Jack,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=fwpOA3o7vFs
558,Holman Side-to-Side Twist,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=OSqANJ0LILA
559,Holman Crab Kick with Hop,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=d_57140plEE
560,Holman Crab Reach to Crab Kick,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=dBho5Z7y4Zc
561,Holman Wide Squat Side-to-Side Obliques,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Pe115ryKDwQ
562,Holman Side Plank Crunch,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=7G4llsBNCgA
563,Total Fitness Ab Tuck,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=Qns3fhUGGkg
564,Active hang from bar,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=MqnKKBUtG-E
565,Cat-cow,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=kqnua4rHVVA
566,Crab walk,Abdominals,Body Only,Intermediate,https://www.youtube.com/watch?v=4JuKZA2jT6Y
